,Date,ID,Symbol,market_cap,simp_move_avg_market_cap,simp_move_std_market_cap
25,2021-01-26,bitcoin_cash,bch,0.0,0.0,0.0
25,2021-01-26,cardano,ada,10718641448.677244,10890906623.392532,610485877.5094422
25,2021-01-26,ethereum,eth,151940348541.692,148036133255.70255,10799470523.167057
25,2021-01-26,litecoin,ltc,9114575939.485142,9365171632.185223,529492160.29295146
25,2021-01-26,ripple,xrp,12239551031.522264,12652386064.158327,555953369.8565378
25,2021-01-26,solana,sol,970376773.8007468,915931769.8840325,67429135.05209194
26,2021-01-27,bitcoin,btc,606573549809.8268,608191750358.7545,26707432696.188587
26,2021-01-27,bitcoin_cash,bch,0.0,0.0,0.0
26,2021-01-27,cardano,ada,10707255441.64569,10765693514.469316,529167501.45518136
26,2021-01-27,ethereum,eth,155446593758.92108,147681447630.73267,10455693043.286383
26,2021-01-27,litecoin,ltc,8954961889.962664,9190921223.22985,404668840.0088021
26,2021-01-27,ripple,xrp,12218188875.589691,12478699154.131714,451099777.77612746
26,2021-01-27,solana,sol,1054703273.4109548,930441898.5682508,85322884.80561031
27,2021-01-28,bitcoin,btc,566661443732.4073,594509890257.4894,17087339533.29208
27,2021-01-28,bitcoin_cash,bch,0.0,0.0,0.0
27,2021-01-28,cardano,ada,9653513519.30118,10483446900.441422,518603820.18241787
27,2021-01-28,ethereum,eth,141774137750.6659,145583875753.0735,9857433450.466015
27,2021-01-28,litecoin,ltc,8150039364.104642,8935312457.345095,418041763.7837942
27,2021-01-28,ripple,xrp,11407608804.15268,12182049696.400953,351480870.7112428
27,2021-01-28,solana,sol,965216149.5931334,929266658.2545329,84686153.90292193
28,2021-01-29,bitcoin,btc,616625386428.2396,600427015423.2194,16447961000.645317
28,2021-01-29,bitcoin_cash,bch,0.0,0.0,0.0
28,2021-01-29,cardano,ada,10775736944.967438,10620918614.604965,431649487.2923063
28,2021-01-29,ethereum,eth,152877389472.9714,148750120335.99802,7581894828.794823
28,2021-01-29,litecoin,ltc,8866532404.29447,8968615571.930033,398826566.5413414
28,2021-01-29,ripple,xrp,12118698621.825148,12163082166.477835,350691801.9609167
28,2021-01-29,solana,sol,994404569.1401207,958897848.5103475,58996673.899162434
29,2021-01-30,bitcoin,btc,635688668063.594,603629528431.95,20935751433.666023
29,2021-01-30,bitcoin_cash,bch,0.0,0.0,0.0
29,2021-01-30,cardano,ada,10870768823.23515,10629801953.527004,436764919.351686
29,2021-01-30,ethereum,eth,158354114909.26474,151333289971.34543,7286498644.369181
29,2021-01-30,litecoin,ltc,8940137524.728409,8938480276.529572,390626608.70408577
29,2021-01-30,ripple,xrp,12853353143.140348,12235259963.5941,436592917.31380993
29,2021-01-30,solana,sol,1011832935.6122584,979045093.4739519,46696803.3635362
