,Date,ID,simp_move_avg_market_cap_ror,Symbol,market_cap
57,2022-02-04,bitcoin,-0.00013764236107624176,btc,703003347951.7092
68,2022-02-05,solana,-0.02862296906202564,sol,35127905584.898895
67,2022-02-05,ethereum,-0.022392424026604754,eth,354558118293.0548
66,2022-02-05,litecoin,-0.013613144317114976,ltc,8353101103.568475
65,2022-02-05,bitcoin,-0.011929189626290219,btc,777355085535.6107
64,2022-02-05,cardano,-0.010393918049576517,ada,36204546433.97586
63,2022-02-05,ripple,-0.008860569323725013,xrp,31113642593.887524
73,2022-02-06,solana,-0.02578959868005561,sol,36087037718.41055
72,2022-02-06,ethereum,-0.02245702925070314,eth,361600442694.43896
71,2022-02-06,litecoin,-0.01486262890404995,ltc,8515178060.793639
70,2022-02-06,ripple,-0.01295952675855463,xrp,32145115972.23587
69,2022-02-06,bitcoin,-0.012397943411305642,btc,786295053042.2418
78,2022-02-07,solana,-0.030298801284321348,sol,36521264719.12104
77,2022-02-07,litecoin,-0.023364357138551888,ltc,8879012796.96533
76,2022-02-07,ethereum,-0.023183121158835886,eth,366038313761.4381
75,2022-02-07,ripple,-0.018711994607670257,xrp,32810995566.6311
74,2022-02-07,bitcoin,-0.01643839186467459,btc,804942041477.0581
84,2022-02-08,ripple,-0.04553688226113688,xrp,39506496107.51002
83,2022-02-08,litecoin,-0.03362633330386307,ltc,9545141168.095592
82,2022-02-08,solana,-0.024726770736745243,sol,37305112916.66873
81,2022-02-08,ethereum,-0.02330008026708324,eth,376351043607.997
80,2022-02-08,bitcoin,-0.019945314648762636,btc,833392518214.8341
79,2022-02-08,cardano,-0.019434828637126693,ada,38523988522.32886
90,2022-02-09,ripple,-0.05247420594776081,xrp,42130847575.61262
89,2022-02-09,litecoin,-0.021931220426815407,ltc,9335293494.43885
88,2022-02-09,bitcoin,-0.018787139818743977,btc,837406846076.2306
87,2022-02-09,ethereum,-0.016322135449361178,eth,374043919421.316
