,Date,ID,Symbol,market_cap,momentum_market_cap
27,2021-01-28,bitcoin_cash,bch,0.0,0.0
27,2021-01-28,cardano,ada,9653513519.30118,15728569.655449731
27,2021-01-28,ethereum,eth,141774137750.6659,206514394.55233547
27,2021-01-28,litecoin,ltc,8150039364.104642,-56209908.12280738
27,2021-01-28,ripple,xrp,11407608804.15268,-102115782.78303832
27,2021-01-28,solana,sol,965216149.5931334,1188665.9917565512
28,2021-01-29,bitcoin,btc,616625386428.2396,-4740363579.738549
28,2021-01-29,bitcoin_cash,bch,0.0,0.0
28,2021-01-29,cardano,ada,10775736944.967438,12007840.58136687
28,2021-01-29,ethereum,eth,152877389472.9714,284823909.1795088
28,2021-01-29,litecoin,ltc,8866532404.29447,-42273636.82381724
28,2021-01-29,ripple,xrp,12118698621.825148,-89406769.30378264
28,2021-01-29,solana,sol,994404569.1401207,1054318.8599839525
29,2021-01-30,bitcoin,btc,635688668063.594,-3158420146.2423434
29,2021-01-30,bitcoin_cash,bch,0.0,0.0
29,2021-01-30,cardano,ada,10870768823.23515,16451117.316029834
29,2021-01-30,ethereum,eth,158354114909.26474,575402254.5467399
29,2021-01-30,litecoin,ltc,8940137524.728409,-25152684.71378878
29,2021-01-30,ripple,xrp,12853353143.140348,-54679600.27400865
29,2021-01-30,solana,sol,1011832935.6122584,1470589.1765046292
30,2021-01-31,bitcoin,btc,636624676861.2642,-2069571569.2066364
30,2021-01-31,bitcoin_cash,bch,0.0,0.0
30,2021-01-31,cardano,ada,11492910452.930857,17222182.142026346
30,2021-01-31,ethereum,eth,157410718624.21973,873663197.7936795
30,2021-01-31,litecoin,ltc,8828348697.121115,-13592973.730915692
30,2021-01-31,ripple,xrp,19215011544.534508,190096.26381560828
30,2021-01-31,solana,sol,1099976702.0181136,2840974.836263608
31,2021-02-01,bitcoin,btc,615013848827.3505,-2086176684.4652286
31,2021-02-01,bitcoin_cash,bch,0.0,0.0
31,2021-02-01,cardano,ada,11024882710.653038,7325156.561365229
31,2021-02-01,ethereum,eth,150322722005.1637,651200359.3615966
31,2021-02-01,litecoin,ltc,8611596821.687353,-22511817.842360366
31,2021-02-01,ripple,xrp,22460670801.01922,21030501.92056311
31,2021-02-01,solana,sol,1108554251.4633815,3096684.4781841915
32,2021-02-02,bitcoin,btc,621908231690.1377,-2594542258.21343
32,2021-02-02,bitcoin_cash,bch,0.0,0.0
32,2021-02-02,cardano,ada,12802876639.677765,8348113.887957725
32,2021-02-02,ethereum,eth,155894407853.50046,467126057.3273238
32,2021-02-02,litecoin,ltc,8770352764.869314,-43798178.80853638
32,2021-02-02,ripple,xrp,16887446178.179226,40782624.771096826
32,2021-02-02,solana,sol,1181003688.1507916,5535357.442387058
33,2021-02-03,bitcoin,btc,660664104637.4851,-1246098467.0951283
33,2021-02-03,bitcoin_cash,bch,0.0,0.0
33,2021-02-03,cardano,ada,13649744225.9608,15812710.22784433
33,2021-02-03,ethereum,eth,174557101587.54166,526146466.4089956
33,2021-02-03,litecoin,ltc,9450818939.918022,-28283770.82612758
33,2021-02-03,ripple,xrp,17039497521.900587,74189390.72448651
33,2021-02-03,solana,sol,1375270992.6864705,8936083.403538546
34,2021-02-04,bitcoin,btc,695794870715.5251,-105533050.40277988
34,2021-02-04,bitcoin_cash,bch,0.0,0.0
34,2021-02-04,cardano,ada,14046780963.90513,24399902.981364276
34,2021-02-04,ethereum,eth,189023794263.7008,768474171.9879669
34,2021-02-04,litecoin,ltc,10304402991.747871,-4330147.351504908
34,2021-02-04,ripple,xrp,17945935420.571823,117238655.27606724
34,2021-02-04,solana,sol,1486424501.2461636,12116089.490464255
35,2021-02-05,bitcoin,btc,686453802173.3838,-43904.3280807072
35,2021-02-05,bitcoin_cash,bch,0.0,0.0
35,2021-02-05,cardano,ada,14124867498.632463,30346045.692277297
35,2021-02-05,ethereum,eth,183982328605.4526,907153268.958023
35,2021-02-05,litecoin,ltc,9652677574.523088,-1507442.8898326985
35,2021-02-05,ripple,xrp,20405940224.787094,177637112.08372307
35,2021-02-05,solana,sol,1677733734.3813236,16295975.78458322
36,2021-02-06,bitcoin,btc,706320162928.6615,74602693.20334499
36,2021-02-06,bitcoin_cash,bch,0.0,0.0
36,2021-02-06,cardano,ada,17202094510.163548,69104039.15044188
36,2021-02-06,ethereum,eth,196424150368.4788,1232248449.870776
36,2021-02-06,litecoin,ltc,10246105819.517834,-15028.152616830095
36,2021-02-06,ripple,xrp,20535328839.092148,238994727.84945452
36,2021-02-06,solana,sol,1732564478.94795,22291586.651680004
37,2021-02-07,bitcoin,btc,732453192636.7231,701047271.9938775
37,2021-02-07,bitcoin_cash,bch,0.0,0.0
37,2021-02-07,cardano,ada,19854979470.03364,149624911.1188201
37,2021-02-07,ethereum,eth,192164042318.95844,1507008226.7547696
37,2021-02-07,litecoin,ltc,10297390883.071535,153770.1626025961
37,2021-02-07,ripple,xrp,20205229008.6856,286896138.9409139
37,2021-02-07,solana,sol,1614662623.626382,30056884.95388327
38,2021-02-08,bitcoin,btc,723434796637.7434,2282501717.483755
38,2021-02-08,bitcoin_cash,bch,0.0,0.0
38,2021-02-08,cardano,ada,20910050886.32516,247861926.67108005
38,2021-02-08,ethereum,eth,184109385158.1494,1631374735.3295434
38,2021-02-08,litecoin,ltc,10051143409.97115,3352127.299997544
38,2021-02-08,ripple,xrp,19158415883.033077,314002855.5484184
38,2021-02-08,solana,sol,1741080410.398057,38258395.698744595
39,2021-02-09,bitcoin,btc,862413737410.9171,5324050109.278548
39,2021-02-09,bitcoin_cash,bch,0.0,0.0
39,2021-02-09,cardano,ada,21857345265.124405,365495676.4142362
39,2021-02-09,ethereum,eth,198719063426.16904,2291010002.7460546
39,2021-02-09,litecoin,ltc,11147204342.01247,25003645.200343154
39,2021-02-09,ripple,xrp,20468514863.339752,364903851.408891
39,2021-02-09,solana,sol,2067531944.1291592,47702360.64262085
40,2021-02-10,bitcoin,btc,867164581003.3563,9063789567.632195
40,2021-02-10,bitcoin_cash,bch,0.0,0.0
40,2021-02-10,cardano,ada,22537176367.01823,496065007.61022717
40,2021-02-10,ethereum,eth,203102939465.473,2967799901.8880715
40,2021-02-10,litecoin,ltc,11983254027.726034,67427833.87161635
40,2021-02-10,ripple,xrp,21583065336.769066,424837230.88425833
40,2021-02-10,solana,sol,2066515667.7340856,57588658.41796456
41,2021-02-11,bitcoin,btc,839561451461.0575,10368554551.945297
41,2021-02-11,bitcoin_cash,bch,0.0,0.0
41,2021-02-11,cardano,ada,29471024411.44145,609798615.0205288
41,2021-02-11,ethereum,eth,199919369275.37125,2894487819.216969
41,2021-02-11,litecoin,ltc,12077826948.37514,87628698.19662283
41,2021-02-11,ripple,xrp,22982765730.23764,463437392.6699526
41,2021-02-11,solana,sol,2347978417.7784863,63920053.39993049
42,2021-02-12,bitcoin,btc,890629045243.5952,12872088801.174004
42,2021-02-12,bitcoin_cash,bch,0.0,0.0
42,2021-02-12,cardano,ada,29490259208.42937,765785928.5044112
42,2021-02-12,ethereum,eth,203774834938.25632,2937349983.6537504
42,2021-02-12,litecoin,ltc,12277450046.61745,120450379.6203965
42,2021-02-12,ripple,xrp,23856145163.797523,498939903.88059556
42,2021-02-12,solana,sol,2396719732.172312,71423376.139105
43,2021-02-13,bitcoin,btc,880620921496.0787,14551412988.555609
43,2021-02-13,bitcoin_cash,bch,0.0,0.0
43,2021-02-13,cardano,ada,29484763500.13651,912859250.3669271
43,2021-02-13,ethereum,eth,210344318124.7324,2983141472.6119075
43,2021-02-13,litecoin,ltc,13187361623.030052,160273576.38861838
43,2021-02-13,ripple,xrp,27960966907.84191,564255699.9107845
43,2021-02-13,solana,sol,2426763287.306892,78365655.62166803
44,2021-02-14,bitcoin,btc,874425017687.0778,15754296410.797726
44,2021-02-14,bitcoin_cash,bch,0.0,0.0
44,2021-02-14,cardano,ada,28898521927.17186,1033007663.3794509
44,2021-02-14,ethereum,eth,207890872554.91016,3258505870.8426385
44,2021-02-14,litecoin,ltc,15007054170.841364,217162099.8989165
44,2021-02-14,ripple,xrp,28721338583.23619,623243558.9950353
44,2021-02-14,solana,sol,2299907027.7197843,81631256.83255361
45,2021-02-15,bitcoin,btc,905515462576.995,16988510859.89375
45,2021-02-15,bitcoin_cash,bch,0.0,0.0
45,2021-02-15,cardano,ada,27180580246.00645,1082884890.6614943
45,2021-02-15,ethereum,eth,207057026271.03052,3246021481.659467
45,2021-02-15,litecoin,ltc,14296149144.143295,265761114.0229848
45,2021-02-15,ripple,xrp,27087614068.25724,633062785.0323765
45,2021-02-15,solana,sol,2299584697.079879,82554160.8103271
46,2021-02-16,bitcoin,btc,892345220938.2782,17480081933.854046
46,2021-02-16,bitcoin_cash,bch,0.0,0.0
46,2021-02-16,cardano,ada,27363016264.865456,1097922231.8242059
46,2021-02-16,ethereum,eth,203972439068.60132,3117861911.7515335
46,2021-02-16,litecoin,ltc,13794079373.608768,296643808.07798576
46,2021-02-16,ripple,xrp,25026313241.817905,575595277.9399978
46,2021-02-16,solana,sol,2319301370.904806,82925113.71944168
47,2021-02-17,bitcoin,btc,917339726314.6964,17043211493.356546
47,2021-02-17,bitcoin_cash,bch,0.0,0.0
47,2021-02-17,cardano,ada,27928267753.64383,1062848257.926709
47,2021-02-17,ethereum,eth,204528599567.24704,2678914370.330158
47,2021-02-17,litecoin,ltc,13994235891.816252,301608662.1197256
47,2021-02-17,ripple,xrp,23858413182.24458,461749129.0709949
47,2021-02-17,solana,sol,2184260799.960396,75148300.48041268
48,2021-02-18,bitcoin,btc,971516568847.578,17826170769.90063
48,2021-02-18,bitcoin_cash,bch,0.0,0.0
48,2021-02-18,cardano,ada,28374309990.04283,1022381814.395871
48,2021-02-18,ethereum,eth,211713928319.0353,2466742769.403386
48,2021-02-18,litecoin,ltc,15732859207.897224,336256199.57299083
48,2021-02-18,ripple,xrp,24600084027.40609,365845090.07581645
48,2021-02-18,solana,sol,2173930631.1428275,65401724.12232969
49,2021-02-19,bitcoin,btc,963911356673.4604,18258437174.31117
49,2021-02-19,bitcoin_cash,bch,0.0,0.0
49,2021-02-19,cardano,ada,29081988032.46847,963562558.8630712
49,2021-02-19,ethereum,eth,221863277318.4042,2430565744.954873
49,2021-02-19,litecoin,ltc,15121894587.44878,354372907.13152754
49,2021-02-19,ripple,xrp,24401068320.804165,268848728.78618133
49,2021-02-19,solana,sol,2375754523.610692,59149968.018405035
50,2021-02-20,bitcoin,btc,1044189900351.5892,19285400107.002373
50,2021-02-20,bitcoin_cash,bch,0.0,0.0
50,2021-02-20,cardano,ada,29861793769.83866,898977903.7054937
50,2021-02-20,ethereum,eth,226038410300.1425,2352740765.3002143
50,2021-02-20,litecoin,ltc,15839424500.723024,369619115.54025334
50,2021-02-20,ripple,xrp,26073015135.8984,278409158.8084587
50,2021-02-20,solana,sol,2993685734.1051297,61275374.04075752
51,2021-02-21,bitcoin,btc,1050555931433.1448,19410172386.224346
51,2021-02-21,bitcoin_cash,bch,0.0,0.0
51,2021-02-21,cardano,ada,35319686744.70111,893845322.8810006
51,2021-02-21,ethereum,eth,221404545098.43417,2086021573.5211332
51,2021-02-21,litecoin,ltc,15203472513.34081,355796586.9132471
51,2021-02-21,ripple,xrp,23657760929.564903,303213196.3454285
51,2021-02-21,solana,sol,2615417098.019502,55935540.242642276
52,2021-02-22,bitcoin,btc,1075380337357.9144,19355270635.264347
52,2021-02-22,bitcoin_cash,bch,0.0,0.0
52,2021-02-22,cardano,ada,35410060966.21958,881028605.7299007
52,2021-02-22,ethereum,eth,223004310602.4685,1893543811.3903184
52,2021-02-22,litecoin,ltc,15153974921.839952,331427466.030569
52,2021-02-22,ripple,xrp,25191390487.04061,241963978.61169055
52,2021-02-22,solana,sol,2943199329.545796,54801851.12233873
53,2021-02-23,bitcoin,btc,1012091985973.4642,18026688744.195744
53,2021-02-23,bitcoin_cash,bch,0.0,0.0
53,2021-02-23,cardano,ada,35028892675.36006,840486533.9486246
53,2021-02-23,ethereum,eth,204731064486.9056,1282758307.828479
53,2021-02-23,litecoin,ltc,13862481747.567024,272346398.0854868
53,2021-02-23,ripple,xrp,26315783830.375607,196833088.78146893
53,2021-02-23,solana,sol,3751426598.917991,58591200.7850473
54,2021-02-24,bitcoin,btc,904133801444.5278,13593000779.112383
54,2021-02-24,bitcoin_cash,bch,0.0,0.0
54,2021-02-24,cardano,ada,30289508304.79003,669685858.4453881
54,2021-02-24,ethereum,eth,179691686731.1511,322099321.63903457
54,2021-02-24,litecoin,ltc,11684789134.489574,158205399.6286203
54,2021-02-24,ripple,xrp,21616170566.952755,77679595.03990074
54,2021-02-24,solana,sol,4014384609.485051,65792091.21175867
55,2021-02-25,bitcoin,btc,929081504353.552,9932271672.502462
55,2021-02-25,bitcoin_cash,bch,0.0,0.0
55,2021-02-25,cardano,ada,33843111261.4633,577271919.7941322
55,2021-02-25,ethereum,eth,185843232352.39117,40738289.554344095
55,2021-02-25,litecoin,ltc,12077580347.388498,76918416.33885434
55,2021-02-25,ripple,xrp,21552614418.590008,25585488.46241251
55,2021-02-25,solana,sol,4630153132.806194,78888244.91092664
56,2021-02-26,bitcoin,btc,875883932252.4404,5405569662.813452
56,2021-02-26,bitcoin_cash,bch,0.0,0.0
56,2021-02-26,cardano,ada,35020140015.7137,516807881.5924243
56,2021-02-26,ethereum,eth,168658293547.98462,-27077.462573537527
56,2021-02-26,litecoin,ltc,11963649830.611223,27677293.628081985
56,2021-02-26,ripple,xrp,19755041198.64477,1414351.5383623098
56,2021-02-26,solana,sol,3670715311.01561,82826885.32305421
57,2021-02-27,bitcoin,btc,869070614247.8623,2187377344.2456465
57,2021-02-27,bitcoin_cash,bch,0.0,0.0
57,2021-02-27,cardano,ada,39925051371.21413,527099055.4247636
57,2021-02-27,ethereum,eth,167151176870.9801,-48816550.86343572
57,2021-02-27,litecoin,ltc,11442259564.295391,3244522.4205179983
57,2021-02-27,ripple,xrp,19740260345.517567,-386275.4053494394
57,2021-02-27,solana,sol,3630663218.351275,80064307.05508651
58,2021-02-28,bitcoin,btc,869649724200.5775,388002276.633562
58,2021-02-28,bitcoin_cash,bch,0.0,0.0
58,2021-02-28,cardano,ada,42146907598.95325,548205671.437392
58,2021-02-28,ethereum,eth,167833687528.28204,-355991786.0144397
58,2021-02-28,litecoin,ltc,11533650378.829742,-19548.600768021905
58,2021-02-28,ripple,xrp,20027896981.23032,-22163817.01494223
58,2021-02-28,solana,sol,3502097092.0348463,73363643.40548383
0,2021-03-01,bitcoin,btc,838307614585.1935,27140315.042190876
